OrderID,OrderDate,CustomerID,CustomerName,Region,Segment,Category,Product,Quantity,UnitPrice,UnitCost,Channel,SalesRepID,SalesRep,Revenue,COGS,GrossProfit,Discount
ORD-10001,2022-12-08,C0042,Customer 42,West,Corporate,Furniture,Bookshelf L,18,170.0,95,Direct,SR04,Sneha Joshi,3060.0,1710,1350.0,0.15
ORD-10002,2023-07-29,C0020,Customer 20,West,Consumer,Electronics,Laptop Pro 15,18,1200,720,Wholesale,SR04,Sneha Joshi,21600,12960,8640,0
ORD-10003,2023-08-20,C0111,Customer 111,North,Consumer,Software,Analytics Tool,2,1200,150,Wholesale,SR01,Arjun Sharma,2400,300,2100,0
ORD-10004,2024-03-26,C0054,Customer 54,South,SMB,Electronics,Wireless Headphones,4,180,90,Direct,SR02,Priya Patel,720,360,360,0
ORD-10005,2023-09-28,C0042,Customer 42,West,Corporate,Furniture,Ergonomic Chair,14,450,240,Retail,SR04,Sneha Joshi,6300,3360,2940,0
ORD-10006,2024-01-25,C0172,Customer 172,East,Corporate,Office Supplies,Sticky Notes Bulk,9,15,5,Online,SR03,Rohit Mehta,135,45,90,0
ORD-10007,2023-01-27,C0057,Customer 57,Central,Corporate,Electronics,Smartwatch X,15,250,130,Wholesale,SR05,Vikram Nair,3750,1950,1800,0
ORD-10008,2024-04-20,C0007,Customer 7,North,Consumer,Furniture,Ergonomic Chair,13,450,240,Wholesale,SR01,Arjun Sharma,5850,3120,2730,0
ORD-10009,2024-06-04,C0090,Customer 90,South,SMB,Electronics,Wireless Headphones,18,180,90,Online,SR07,Amit Desai,3240,1620,1620,0
ORD-10010,2022-04-29,C0149,Customer 149,West,Consumer,Office Supplies,Ballpoint Pens Pack,2,18,6,Direct,SR04,Sneha Joshi,36,12,24,0
ORD-10011,2022-12-20,C0156,Customer 156,West,SMB,Office Supplies,Sticky Notes Bulk,13,13.5,5,Retail,SR04,Sneha Joshi,175.5,65,110.5,0.1
ORD-10012,2022-09-18,C0001,Customer 1,North,Consumer,Electronics,Smartwatch X,12,237.5,130,Online,SR01,Arjun Sharma,2850.0,1560,1290.0,0.05
ORD-10013,2023-11-12,C0081,Customer 81,Central,SMB,Office Supplies,File Cabinet,10,108.0,60,Wholesale,SR05,Vikram Nair,1080.0,600,480.0,0.1
ORD-10014,2023-11-14,C0104,Customer 104,North,Consumer,Clothing,Leather Belt,18,45,18,Retail,SR06,Neha Gupta,810,324,486,0
ORD-10015,2023-03-07,C0158,Customer 158,North,SMB,Clothing,Formal Shirt,13,58.5,28,Online,SR06,Neha Gupta,760.5,364,396.5,0.1
ORD-10016,2022-11-08,C0111,Customer 111,North,Consumer,Office Supplies,Ballpoint Pens Pack,15,17.1,6,Direct,SR06,Neha Gupta,256.5,90,166.5,0.05
ORD-10017,2023-11-23,C0122,Customer 122,North,SMB,Furniture,Meeting Table,3,900,500,Wholesale,SR01,Arjun Sharma,2700,1500,1200,0
ORD-10018,2022-04-06,C0058,Customer 58,Central,Corporate,Furniture,Bookshelf L,5,200,95,Online,SR05,Vikram Nair,1000,475,525,0
